기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 대구
기간 : 20110101~20111231

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2011-06-24,143,25.2,20.2,30.9
2011-06-25,143,18.7,17.7,20.4
2011-06-26,143,20.8,18.1,23.5
2011-06-27,143,24.9,19.7,29.5
2011-06-28,143,26.7,21,33
2011-06-29,143,28.8,24.2,33.8
2011-06-30,143,26.5,23.4,30
2011-07-01,143,28,23.4,32.8
2011-07-02,143,28.9,23.8,34.1
2011-07-03,143,26.3,24.7,28.1
2011-07-04,143,27.8,24.3,32.7
2011-07-05,143,27.5,22.4,33.1
2011-07-06,143,24.4,22.9,27.2
2011-07-07,143,24.3,22.7,26.3
2011-07-08,143,29.1,25.8,33.9
2011-07-09,143,23.3,21.8,27.6
2011-07-10,143,22.4,20.6,27.2
2011-07-11,143,25.2,20.3,31.3
2011-07-12,143,25.4,22.7,29.9
2011-07-13,143,25.4,23.7,27.5
2011-07-14,143,27.2,24.2,30.8
2011-07-15,143,28.8,24.7,32.9
2011-07-16,143,29,24.4,34.4
2011-07-17,143,28.9,24.1,34.1
2011-07-18,143,28,25,32.7
2011-07-19,143,28.7,24.7,33.3
2011-07-20,143,28.3,22.4,34.4
2011-07-21,143,23.9,21,29.1
2011-07-22,143,23.8,20.1,28.4
2011-07-23,143,25.5,22.1,30.9
2011-07-24,143,24.4,22.8,27.2
2011-07-25,143,26.1,21.8,30.9
2011-07-26,143,27.7,23.1,32.4
2011-07-27,143,29,27.5,31.7
2011-07-28,143,29.4,25.9,33.9
2011-07-29,143,28.9,24.5,35
2011-07-30,143,27.8,24.2,34.3
2011-07-31,143,27.1,23.6,31.5
2011-08-01,143,26.2,23.9,30.1
2011-08-02,143,25.3,24.4,26.1
2011-08-03,143,27.1,24.5,32.9
2011-08-04,143,28.7,23.4,35.1
2011-08-05,143,28.8,24,34.3
2011-08-06,143,28.4,25.6,33.1
2011-08-07,143,29.4,26.6,32.6
2011-08-08,143,28.8,23.3,32.9
2011-08-09,143,26.6,24.4,30.4
2011-08-10,143,26.4,25.1,29.9
2011-08-11,143,28.6,24.2,33.4
2011-08-12,143,29.3,25.8,34.4
2011-08-13,143,28.1,24.9,33.7
2011-08-14,143,28.7,24.7,33.5
2011-08-15,143,27.4,23.2,33
2011-08-16,143,28.9,24.8,34.2
2011-08-17,143,28.3,24.5,31.5
2011-08-18,143,25.5,24.1,28
2011-08-19,143,22.1,21.2,24.1
2011-08-20,143,21.2,19.5,23.8
2011-08-21,143,22.8,18.7,27.8
2011-08-22,143,21.3,19,23.8
2011-08-23,143,21.6,19.5,23.9
2011-08-24,143,22.9,20.9,26
2011-08-25,143,23.3,20.4,26.4
2011-08-26,143,24.6,21.8,27.8
2011-08-27,143,25.5,23.7,29
2011-08-28,143,25.5,21.7,29.7
2011-08-29,143,26.8,21.5,32.6
2011-08-30,143,27.2,22.9,33.1
2011-08-31,143,27.8,23.1,33.3
2011-09-01,143,27.9,22.7,35.5
2011-09-02,143,26.3,21.8,30.1
2011-09-03,143,26.6,24.1,30.3
2011-09-04,143,25.5,22.9,29.5
2011-09-05,143,23.7,19.8,28.7
2011-09-06,143,24.3,19.7,29.8
2011-09-07,143,23.9,17.3,30
2011-09-08,143,24.3,21.3,29
2011-09-09,143,23.4,21.4,27
2011-09-10,143,20.2,19,21.5
2011-09-11,143,23,20.3,26.3
2011-09-12,143,25.7,22.7,31.8
2011-09-13,143,26.5,22.3,32.2
2011-09-14,143,27,23,33.5
2011-09-15,143,27.3,21.2,34.2
2011-09-16,143,28.2,22.4,34
2011-09-17,143,26.6,24.8,29.8
2011-09-18,143,23.6,21.2,27.9
2011-09-19,143,19.9,17.9,22.1
2011-09-20,143,18.7,17.2,20.7
2011-09-21,143,19.1,15.3,24.2
2011-09-22,143,18.5,11.6,25.1
2011-09-23,143,19.9,12.4,26.9
2011-09-24,143,20.7,14.6,27.1
2011-09-25,143,21.1,15.7,27.1
2011-09-26,143,20.2,14.5,27.4
2011-09-27,143,19.8,12.6,27.3
2011-09-28,143,19.9,16,23.8
2011-09-29,143,19.2,17.4,21.2
2011-09-30,143,19.1,14.7,23.4
2011-10-01,143,15.8,11,21.2
2011-10-02,143,15.4,12.4,20.2
2011-10-03,143,14.6,7.9,21.7
2011-10-04,143,16.1,8.4,23.1
2011-10-05,143,18.1,13.8,24.7
2011-10-06,143,18.4,13.1,24.3
2011-10-07,143,16.7,10.2,23.5
2011-10-08,143,16.8,10,24.5
2011-10-09,143,17.4,11.3,23.8
2011-10-10,143,19.2,12.6,26.8
2011-10-11,143,19,13.7,26.3
2011-10-12,143,17.9,10.5,24.5
2011-10-13,143,20.2,14.8,27.2
2011-10-14,143,15.2,14.3,17.1
2011-10-15,143,17.2,13.5,21.9
2011-10-16,143,16.7,12.1,22.1
2011-10-17,143,15.9,11.2,21
2011-10-18,143,13.1,6.3,20
2011-10-19,143,14.1,7.2,21.3
2011-10-20,143,17,12.1,22.7
2011-10-21,143,15.3,12.7,17.5
2011-10-22,143,14.9,13.7,16
2011-10-23,143,15.3,11.6,19.7
2011-10-24,143,15.5,12.7,18.2
2011-10-25,143,10.2,7.4,14.2
2011-10-26,143,9.6,2.5,17.2
2011-10-27,143,12.2,4.8,20.2
2011-10-28,143,14,8.7,21
2011-10-29,143,14.8,11.3,17.4
2011-10-30,143,14.8,12.2,17.7
2011-10-31,143,14.2,9.6,21.2
2011-11-01,143,16.6,10.4,23.6
2011-11-02,143,17,14.7,20.6
2011-11-03,143,18.6,14.2,24.6
2011-11-04,143,20.2,15.2,25.4
2011-11-05,143,19.9,17.3,24.5
2011-11-06,143,17.2,16,19.3
2011-11-07,143,17.1,15.2,21
2011-11-08,143,15.3,14,16.5
2011-11-09,143,14.6,13.3,17.2
2011-11-10,143,14.1,11.5,16.9
2011-11-11,143,14,11.1,19.2
2011-11-12,143,13.3,8.8,18.1
2011-11-13,143,13.5,9.8,18
2011-11-14,143,10.6,7.3,15.1
2011-11-15,143,9.5,5.4,15
2011-11-16,143,9,1.8,16.6
2011-11-17,143,10.4,6.4,13.6
2011-11-18,143,12.9,10.3,14.7
2011-11-19,143,14.9,10,20.3
2011-11-20,143,5.4,3.1,10
2011-11-21,143,4.4,0.4,9
2011-11-22,143,5.6,-0.5,9.3
2011-11-23,143,6.3,3.4,10.2
2011-11-24,143,3.4,1,7
2011-11-25,143,4.3,-0.1,10
2011-11-26,143,6.3,-0.3,13
2011-11-27,143,10,4,17.8
2011-11-28,143,10.2,7.1,13.4
2011-11-29,143,12.9,9.9,17.6
2011-11-30,143,9.8,5.8,12.8
2011-12-01,143,6.5,5.2,7.9
2011-12-02,143,6.7,2.6,10
2011-12-03,143,7,4.8,9.4
2011-12-04,143,6.4,2.4,11.3
2011-12-05,143,5,-0.1,10.5
2011-12-06,143,5.5,3.4,8.8
2011-12-07,143,7.6,5,11.1
2011-12-08,143,5.2,1,9.5
2011-12-09,143,1,-1.2,5.5
2011-12-10,143,0.7,-2.5,5.2
2011-12-11,143,4.5,0.1,8.6
2011-12-12,143,5.7,2.7,9.5
2011-12-13,143,4.6,-1.4,11.5
2011-12-14,143,6.4,-0.5,12.4
2011-12-15,143,1.7,-2.4,7.7
2011-12-16,143,-2.2,-4.3,1.1
2011-12-17,143,-2.2,-6.1,2.6
2011-12-18,143,0.8,-2.1,5.1
2011-12-19,143,1.1,-2.6,6
2011-12-20,143,2.3,-2,6.4
2011-12-21,143,3.7,0,8.2
2011-12-22,143,0.3,-4.5,4.7
2011-12-23,143,-2.7,-6.8,1.4
2011-12-24,143,-1.8,-5.5,2.4
2011-12-25,143,-2.4,-5.1,1.5
2011-12-26,143,-2.8,-6.4,1.7
2011-12-27,143,-0.7,-4.8,5.7
2011-12-28,143,0.9,-4.6,7.4
2011-12-29,143,2.4,-1.3,8
2011-12-30,143,0.9,-4.1,7.5
2011-12-31,143,0.7,-4.7,5.1

