기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 수원
기간 : 20110101~20111231

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2011-06-11,119,21.5,16.8,27.3
2011-06-12,119,20.9,15.6,28.1
2011-06-13,119,19.6,15.2,26.2
2011-06-14,119,21.5,15.1,28.3
2011-06-15,119,23.8,16.9,31.6
2011-06-16,119,25.6,17.6,32.6
2011-06-17,119,24.1,20.2,30.1
2011-06-18,119,23,19.2,28.1
2011-06-19,119,25.3,18.2,32.6
2011-06-20,119,24.5,20.3,30.7
2011-06-21,119,23.8,18.6,29.5
2011-06-22,119,23.2,20.4,26.8
2011-06-23,119,22.8,21.7,24.7
2011-06-24,119,20.4,18.8,22.8
2011-06-25,119,19.2,18,20.6
2011-06-26,119,21.3,18.4,24.5
2011-06-27,119,19.9,18.9,21.2
2011-06-28,119,24.1,18.3,30.6
2011-06-29,119,22,20.4,24
2011-06-30,119,25,21.6,28.5
2011-07-01,119,25.6,23.3,29.9
2011-07-02,119,25.2,22.6,29.8
2011-07-03,119,22.6,20.2,25
2011-07-04,119,22.5,18.6,27.9
2011-07-05,119,23.4,18.7,30.9
2011-07-06,119,25,18.9,32
2011-07-07,119,23.2,21.9,25.8
2011-07-08,119,22.6,21.1,25.2
2011-07-09,119,24.7,21.5,29.7
2011-07-10,119,23.7,21.3,26.5
2011-07-11,119,21.7,21,23.1
2011-07-12,119,23.4,21.1,26
2011-07-13,119,24.5,22.7,26.8
2011-07-14,119,24.6,22.9,28.1
2011-07-15,119,24.2,22.2,28.4
2011-07-16,119,24.9,22.3,28.6
2011-07-17,119,26.4,23,31.9
2011-07-18,119,29.9,24.7,35.8
2011-07-19,119,29.3,25.7,34.1
2011-07-20,119,28.5,24.9,32.8
2011-07-21,119,27.6,23,33
2011-07-22,119,24,20.8,25.8
2011-07-23,119,25.9,23.4,30.2
2011-07-24,119,24.7,22.2,27.9
2011-07-25,119,26.8,24,30.5
2011-07-26,119,26.8,23.4,31
2011-07-27,119,26.3,23.8,28.9
2011-07-28,119,25.5,23.1,27.4
2011-07-29,119,27,24.6,30.9
2011-07-30,119,27.5,24.9,31.2
2011-07-31,119,25.4,24.1,27.5
2011-08-01,119,27,24.1,30.4
2011-08-02,119,27.4,24.9,32.3
2011-08-03,119,26.6,24.1,30.7
2011-08-04,119,26.3,24.1,29.8
2011-08-05,119,30.1,23.8,35.6
2011-08-06,119,29.3,26.4,33.2
2011-08-07,119,28.9,25.1,33.1
2011-08-08,119,25.2,24.2,27.7
2011-08-09,119,25.2,23.7,28
2011-08-10,119,25.7,23.5,29.5
2011-08-11,119,26.9,24.7,30.9
2011-08-12,119,25.3,23.7,28.7
2011-08-13,119,25.9,23.9,28.4
2011-08-14,119,25.5,23.5,29
2011-08-15,119,25.2,23.4,28.2
2011-08-16,119,25.2,23.8,28.2
2011-08-17,119,24.4,23.7,25
2011-08-18,119,26.1,22.8,30.5
2011-08-19,119,24.4,22.3,27.6
2011-08-20,119,22.7,20.6,26.1
2011-08-21,119,23.9,18.6,30.5
2011-08-22,119,24.1,20.5,29.7
2011-08-23,119,24.8,18.6,30.5
2011-08-24,119,24.7,20.8,29.2
2011-08-25,119,25.9,21.5,29.9
2011-08-26,119,26.6,23.5,30.7
2011-08-27,119,27.4,23.9,32.1
2011-08-28,119,27.2,24,32.5
2011-08-29,119,27.2,23.9,31.7
2011-08-30,119,27.3,24,33
2011-08-31,119,27.1,23,32.4
2011-09-01,119,26.3,21.3,31.7
2011-09-02,119,27.4,22.6,33.3
2011-09-03,119,25.9,22.1,31.2
2011-09-04,119,24.8,20.8,29.9
2011-09-05,119,23.8,18.6,28.7
2011-09-06,119,22.7,17.8,27.9
2011-09-07,119,22.1,16.4,27.5
2011-09-08,119,22.1,20.2,25.7
2011-09-09,119,20.1,19.5,21.3
2011-09-10,119,21.2,18.9,24.8
2011-09-11,119,20.9,18.7,23.3
2011-09-12,119,23.7,20.2,28.5
2011-09-13,119,25,21.2,29.5
2011-09-14,119,24.6,21.7,29.4
2011-09-15,119,25.7,21.3,30.8
2011-09-16,119,25.3,20.4,31.3
2011-09-17,119,26,21.7,31
2011-09-18,119,21.9,18.6,26.5
2011-09-19,119,17.4,14.3,19
2011-09-20,119,17.6,11.4,22.3
2011-09-21,119,18.9,14.7,24.6
2011-09-22,119,17.6,9.9,24.1
2011-09-23,119,18.6,12.2,25.8
2011-09-24,119,18.9,13.6,25.9
2011-09-25,119,19.4,13.4,26.8
2011-09-26,119,20.1,13.6,28.5
2011-09-27,119,20.5,14.5,28.4
2011-09-28,119,20,15.9,23.5
2011-09-29,119,17.4,16.1,19.5
2011-09-30,119,15.6,11,19
2011-10-01,119,12.5,7.4,16.9
2011-10-02,119,13.7,7.4,18.6
2011-10-03,119,12.7,5.6,20.6
2011-10-04,119,14.5,7.1,21.2
2011-10-05,119,16.1,12.1,22.3
2011-10-06,119,15.8,12.1,21.1
2011-10-07,119,14.6,8.7,20.9
2011-10-08,119,15.3,9.3,22.3
2011-10-09,119,16.1,10.6,22.6
2011-10-10,119,16.2,11,22.6
2011-10-11,119,15.3,10.4,22
2011-10-12,119,14.2,8.4,19.9
2011-10-13,119,15.9,8.7,23.8
2011-10-14,119,14.8,13,15.8
2011-10-15,119,13.7,10.7,19.1
2011-10-16,119,14.7,10.2,19.8
2011-10-17,119,11.2,7.1,15.8
2011-10-18,119,8.9,2,16.2
2011-10-19,119,12.5,3.3,21.5
2011-10-20,119,15.7,10.7,21.6
2011-10-21,119,17.2,11.1,22
2011-10-22,119,16.5,12.3,22
2011-10-23,119,16.2,10.1,21.7
2011-10-24,119,13.2,8.8,16.2
2011-10-25,119,8.4,5.7,12.5
2011-10-26,119,8.1,1.2,16.3
2011-10-27,119,11.5,4.5,19.2
2011-10-28,119,13.5,10,20
2011-10-29,119,12.7,10.8,14.9
2011-10-30,119,14.7,9.9,20.7
2011-10-31,119,13.7,6.7,23.1
2011-11-01,119,15.3,7.5,22.7
2011-11-02,119,15.8,11,22.5
2011-11-03,119,16.1,7.9,24.6
2011-11-04,119,19.7,13.1,25.3
2011-11-05,119,20.3,15.7,25.8
2011-11-06,119,16.1,13.8,20.2
2011-11-07,119,15.8,13.6,18.9
2011-11-08,119,14.9,10.8,19.8
2011-11-09,119,15.1,12.9,18.3
2011-11-10,119,14.6,10.7,17.6
2011-11-11,119,13.2,10.9,16
2011-11-12,119,11.8,8.2,16.4
2011-11-13,119,11.8,7.5,15.9
2011-11-14,119,7,2.4,11.7
2011-11-15,119,6.8,0.5,13.4
2011-11-16,119,9.5,2.9,16.1
2011-11-17,119,13.9,8.6,18.1
2011-11-18,119,15.5,12.1,19.4
2011-11-19,119,12.1,4.7,16.6
2011-11-20,119,1.7,-0.8,4.7
2011-11-21,119,2.1,-1.9,7.1
2011-11-22,119,6.2,1.5,8.8
2011-11-23,119,4,-1,8.2
2011-11-24,119,-0.1,-3.8,3.1
2011-11-25,119,3.3,0.3,8.5
2011-11-26,119,6.6,-0.3,10.1
2011-11-27,119,13.2,9.5,17
2011-11-28,119,14.7,11.6,20.8
2011-11-29,119,11.8,10,13.7
2011-11-30,119,6.1,4.6,10.2
2011-12-01,119,6.9,5.2,9.9
2011-12-02,119,6.6,3.8,8.9
2011-12-03,119,6,3.7,9.4
2011-12-04,119,3.9,1,6.8
2011-12-05,119,1.9,-1.7,5.7
2011-12-06,119,4.7,0.9,9
2011-12-07,119,5.3,2.3,7.6
2011-12-08,119,1.5,-2.4,4.9
2011-12-09,119,-1.6,-3.6,1.4
2011-12-10,119,-1.6,-5.7,1.1
2011-12-11,119,3.1,-1.5,6.6
2011-12-12,119,4.8,0.3,8.1
2011-12-13,119,1.3,-4.5,8.5
2011-12-14,119,2.2,-3.2,7.1
2011-12-15,119,-2.3,-4.1,0.7
2011-12-16,119,-5.6,-8.2,-2.1
2011-12-17,119,-4.6,-11.5,-0.2
2011-12-18,119,-1.7,-5.5,2.5
2011-12-19,119,-2.7,-7.7,3
2011-12-20,119,-1.2,-7.6,4.3
2011-12-21,119,2.5,-0.7,6
2011-12-22,119,-4.1,-8,2.2
2011-12-23,119,-5,-11.3,-0.2
2011-12-24,119,-5.2,-8.8,-2
2011-12-25,119,-6.4,-9.8,-3
2011-12-26,119,-6.5,-9.9,-2.6
2011-12-27,119,-5.6,-12.1,1.3
2011-12-28,119,-1.7,-8.2,3.5
2011-12-29,119,-0.9,-4.7,1.8
2011-12-30,119,-4.5,-9.3,1.8
2011-12-31,119,-2.8,-8.9,2.1

